method,family,n_seeds,f1_mean,f1_std,f1_min,f1_max,roc_auc_mean,pr_auc_mean
known_diverse,baseline,32,0.7742234771486793,0.024775847235652144,0.7184466019417476,0.8256880733944955,0.9012270825916696,0.833238054481334
known_unknown_all_w05,all_fusion,32,0.7724967937645973,0.027224695815834078,0.7184466019417476,0.8363636363636363,0.9016609558561766,0.8346045840407188
known_unknown_stable_k150_w10,stable_fusion,32,0.7715446537221625,0.02932366241782842,0.7155963302752294,0.8363636363636363,0.9016164560341758,0.835305963380775
known_unknown_stable_k150_w20,stable_fusion,32,0.7706101208141455,0.034233311611322585,0.7128712871287128,0.8440366972477065,0.8992245906016376,0.8316227981031561
known_unknown_all_w20,all_fusion,32,0.7701418932801474,0.034527988395378045,0.693069306930693,0.8333333333333334,0.9006040850836596,0.8328343303836928
