stage,seed,method,family,f1,roc_auc,pr_auc
verify,110004,known_unknown_all_w05,all_fusion,0.7706422018348624,0.904058383766465,0.8339843156844919
verify,110004,appended_stable_k50,stable_append,0.7433628318584071,0.8869704521181916,0.8387696675440306
verify,110004,appended_all_diverse,direct,0.7962962962962963,0.8878604485582057,0.8340085964136792
verify,110005,known_diverse,baseline,0.7272727272727273,0.8857244571021716,0.8011919803674153
verify,110005,known_unknown_stable_k150_w10,stable_fusion,0.7407407407407407,0.8892844428622285,0.805878343490579
verify,110005,known_unknown_all_w20,all_fusion,0.7358490566037735,0.8898184407262371,0.8073330413556706
verify,110005,known_unknown_stable_k150_w20,stable_fusion,0.780952380952381,0.8883944464222143,0.7997877226407757
verify,110005,known_unknown_all_w05,all_fusion,0.7339449541284404,0.8866144535421858,0.8040248188157155
verify,110005,appended_stable_k50,stable_append,0.7522935779816514,0.8871484514061944,0.825254013535781
verify,110005,appended_all_diverse,direct,0.7592592592592593,0.8752224991100036,0.806874294958786
verify,110006,known_diverse,baseline,0.7964601769911505,0.9095763616945532,0.8597067126680318
verify,110006,known_unknown_stable_k150_w10,stable_fusion,0.7894736842105263,0.909754360982556,0.8597405297850258
verify,110006,known_unknown_all_w20,all_fusion,0.7964601769911505,0.9079743681025276,0.8512624834907834
verify,110006,known_unknown_stable_k150_w20,stable_fusion,0.7894736842105263,0.9074403702385192,0.85522036586774
verify,110006,known_unknown_all_w05,all_fusion,0.7964601769911505,0.9101103595585616,0.8593734882080148
verify,110006,appended_stable_k50,stable_append,0.7592592592592593,0.8990744037023852,0.8480667992816844
verify,110006,appended_all_diverse,direct,0.7339449541284404,0.8983624065503738,0.8486091107813347
verify,110007,known_diverse,baseline,0.7678571428571429,0.9101103595585618,0.8299075272480748
verify,110007,known_unknown_stable_k150_w10,stable_fusion,0.7927927927927928,0.909932360270559,0.8288221678396209
verify,110007,known_unknown_all_w20,all_fusion,0.7636363636363637,0.9081523673905304,0.8265708674103945
verify,110007,known_unknown_stable_k150_w20,stable_fusion,0.7927927927927928,0.9070843716625132,0.8240307764272586
verify,110007,known_unknown_all_w05,all_fusion,0.7747747747747747,0.9101103595585616,0.829531930031616
verify,110007,appended_stable_k50,stable_append,0.7476635514018691,0.8894624421502314,0.8240726124582264
verify,110007,appended_all_diverse,direct,0.7272727272727273,0.877002491990032,0.802815618116781
verify,110008,known_diverse,baseline,0.7636363636363637,0.9021003915984336,0.8309185912074437
verify,110008,known_unknown_stable_k150_w10,stable_fusion,0.7706422018348624,0.9019223923104308,0.8311838008126325
verify,110008,known_unknown_all_w20,all_fusion,0.7592592592592593,0.9004983980064081,0.8311825225122013
verify,110008,known_unknown_stable_k150_w20,stable_fusion,0.7636363636363637,0.8988964044143823,0.8266055431879518
verify,110008,known_unknown_all_w05,all_fusion,0.7706422018348624,0.9022783908864364,0.8329155108964528
verify,110008,appended_stable_k50,stable_append,0.7339449541284404,0.8766464934140262,0.8005379490896394
verify,110008,appended_all_diverse,direct,0.6915887850467289,0.8616945532217871,0.7914134879024902
verify,110009,known_diverse,baseline,0.8275862068965517,0.9288002847988608,0.8571132256097073
verify,110009,known_unknown_stable_k150_w10,stable_fusion,0.8245614035087719,0.9307582769668922,0.8600825510482473
verify,110009,known_unknown_all_w20,all_fusion,0.8070175438596491,0.9277322890708436,0.8530688056322944
verify,110009,known_unknown_stable_k150_w20,stable_fusion,0.8214285714285714,0.9311142755428978,0.8613302285368505
verify,110009,known_unknown_all_w05,all_fusion,0.8173913043478261,0.9282662869348524,0.8562472105757203
verify,110009,appended_stable_k50,stable_append,0.7931034482758621,0.9124243503025988,0.8402410107845897
verify,110009,appended_all_diverse,direct,0.7678571428571429,0.8980064079743683,0.8254782177185022
verify,110010,known_diverse,baseline,0.7747747747747747,0.8878604485582058,0.821861676412708
verify,110010,known_unknown_stable_k150_w10,stable_fusion,0.7454545454545455,0.8864364542541829,0.8172664057951852
verify,110010,known_unknown_all_w20,all_fusion,0.7407407407407407,0.8786044855820578,0.8107608217910586
verify,110010,known_unknown_stable_k150_w20,stable_fusion,0.7339449541284404,0.8809184763260947,0.8066828527734158
verify,110010,known_unknown_all_w05,all_fusion,0.7522935779816514,0.8873264506941972,0.8206099675505427
verify,110010,appended_stable_k50,stable_append,0.7706422018348624,0.8778924884300463,0.8247778438245773
verify,110010,appended_all_diverse,direct,0.7207207207207207,0.8597365610537557,0.8039425313254636
verify,110011,known_diverse,baseline,0.7747747747747747,0.9145603417586328,0.8453744963020854
verify,110011,known_unknown_stable_k150_w10,stable_fusion,0.7818181818181819,0.9163403346386616,0.8482008828163444
verify,110011,known_unknown_all_w20,all_fusion,0.7592592592592593,0.9138483446066218,0.8380115532168526
verify,110011,known_unknown_stable_k150_w20,stable_fusion,0.7592592592592593,0.9156283374866502,0.845484085584876
verify,110011,known_unknown_all_w05,all_fusion,0.7747747747747747,0.914560341758633,0.844770580557287
verify,110011,appended_stable_k50,stable_append,0.7207207207207207,0.8825204699181203,0.7966835127480636
verify,110011,appended_all_diverse,direct,0.7238095238095238,0.8777144891420434,0.79936168993312
verify,110012,known_diverse,baseline,0.7777777777777778,0.8725525097899609,0.8049102853136697
verify,110012,known_unknown_stable_k150_w10,stable_fusion,0.7777777777777778,0.8778924884300463,0.8142914408002205
verify,110012,known_unknown_all_w20,all_fusion,0.8,0.8796724813100747,0.8144339942689589
verify,110012,known_unknown_stable_k150_w20,stable_fusion,0.8076923076923077,0.8784264862940547,0.8135568677644123
verify,110012,known_unknown_all_w05,all_fusion,0.7777777777777778,0.8755784976860093,0.8107873760474504
verify,110012,appended_stable_k50,stable_append,0.7850467289719626,0.8752224991100036,0.8247076863863178
verify,110012,appended_all_diverse,direct,0.7572815533980582,0.8718405126379495,0.8240469361261148
verify,110013,known_diverse,baseline,0.7543859649122807,0.8990744037023851,0.8405769959154709
verify,110013,known_unknown_stable_k150_w10,stable_fusion,0.7678571428571429,0.895870416518334,0.8358958491926058
verify,110013,known_unknown_all_w20,all_fusion,0.7747747747747747,0.8930224279102883,0.8332572856465672
verify,110013,known_unknown_stable_k150_w20,stable_fusion,0.7567567567567568,0.8898184407262371,0.8279406944260062
verify,110013,known_unknown_all_w05,all_fusion,0.7787610619469026,0.8976504093983624,0.8396938783293904
verify,110013,appended_stable_k50,stable_append,0.7222222222222222,0.8727305090779637,0.822045627527793
verify,110013,appended_all_diverse,direct,0.6785714285714286,0.8600925596297615,0.8090505848238283
verify,110014,known_diverse,baseline,0.7368421052631579,0.8843004627981488,0.806359328017285
verify,110014,known_unknown_stable_k150_w10,stable_fusion,0.7567567567567568,0.8837664649341402,0.80495454846952
verify,110014,known_unknown_all_w20,all_fusion,0.7522935779816514,0.885190459238163,0.8055765174868226
verify,110014,known_unknown_stable_k150_w20,stable_fusion,0.7522935779816514,0.8830544677821288,0.8047123551718767
verify,110014,known_unknown_all_w05,all_fusion,0.7433628318584071,0.8855464578141687,0.8089269878701739
verify,110014,appended_stable_k50,stable_append,0.7387387387387387,0.8955144179423282,0.8227754394909991
verify,110014,appended_all_diverse,direct,0.7547169811320755,0.8951584193663226,0.8183377458630907
verify,110015,known_diverse,baseline,0.7678571428571429,0.8814524741901032,0.7902084950601139
verify,110015,known_unknown_stable_k150_w10,stable_fusion,0.7678571428571429,0.8805624777500891,0.7949118123621267
verify,110015,known_unknown_all_w20,all_fusion,0.7706422018348624,0.8841224635101459,0.7926389035485351
verify,110015,known_unknown_stable_k150_w20,stable_fusion,0.7818181818181819,0.8816304734781062,0.790159683765222
verify,110015,known_unknown_all_w05,all_fusion,0.7610619469026548,0.8821644713421146,0.7933234891860398
verify,110015,appended_stable_k50,stable_append,0.7256637168141593,0.8563545745817017,0.7611374412353836
verify,110015,appended_all_diverse,direct,0.7256637168141593,0.867746529013884,0.7849039477736199
verify,110016,known_diverse,baseline,0.7413793103448276,0.902634389462442,0.8309588224907706
verify,110016,known_unknown_stable_k150_w10,stable_fusion,0.7478260869565218,0.9024563901744392,0.8335883612088566
verify,110016,known_unknown_all_w20,all_fusion,0.7543859649122807,0.9019223923104308,0.8346952857784725
verify,110016,known_unknown_stable_k150_w20,stable_fusion,0.7567567567567568,0.901744393022428,0.8365382171113375
verify,110016,known_unknown_all_w05,all_fusion,0.7543859649122807,0.9035243859024564,0.8341397312040142
verify,110016,appended_stable_k50,stable_append,0.7407407407407407,0.8937344250622998,0.826758567719712
verify,110016,appended_all_diverse,direct,0.7169811320754716,0.8825204699181203,0.8257816245774882
