method,family,n_seeds,f1_mean,f1_std,f1_min,f1_max,roc_auc_mean,pr_auc_mean
known_unknown_stable_k150_w20,stable_fusion,16,0.7702325091005988,0.0242784257553173,0.7339449541284404,0.8214285714285714,0.896437789248843,0.8231109409449622
known_unknown_stable_k150_w10,stable_fusion,16,0.7693676670566788,0.021190265115962392,0.7407407407407407,0.8245614035087719,0.8982734069063724,0.8257591363879682
known_unknown_all_w05,all_fusion,16,0.7676500952384588,0.02069816359523596,0.7339449541284404,0.8173913043478261,0.8982956568173727,0.8257984533145863
known_unknown_all_w20,all_fusion,16,0.7653366077591552,0.023115436847337797,0.7256637168141593,0.8070175438596491,0.8971720363118547,0.8237517552252532
known_diverse,baseline,16,0.7643358032165883,0.02510259809857195,0.7272727272727273,0.8275862068965517,0.8978506585973656,0.8247130073945087
appended_stable_k50,stable_append,16,0.7445768347762762,0.02412620122314156,0.7008547008547008,0.7931034482758621,0.8842893378426486,0.8175758690147004
appended_all_diverse,direct,16,0.7366870405828572,0.030532140154967878,0.6785714285714286,0.7962962962962963,0.8773696155215379,0.8126222511752175
