candidate,family,baseline,n,mean_delta_f1,median_delta_f1,ci95_low,ci95_high,wins,ties,losses,wilcoxon_statistic,wilcoxon_p
known_unknown_stable_k150_w10,stable_fusion,known_diverse,16,0.005031863840090509,0.006782858077128862,-0.0016294264656587093,0.010865386928420106,10,2,4,24.5,0.07871780583378113
known_unknown_all_w20,all_fusion,known_diverse,16,0.0010008045425669437,0.005007412225590535,-0.007302708757689197,0.008465947321711855,9,1,6,54.0,0.7332713908212207
known_unknown_stable_k150_w20,stable_fusion,known_diverse,16,0.005896705884010464,0.0032516823921941995,-0.004102296483083279,0.015987316958421465,10,1,5,41.0,0.28053090025207417
known_unknown_all_w05,all_fusion,known_diverse,16,0.003314292021870481,0.0032603632976246355,-0.002206290407808347,0.008571089580790052,8,5,3,20.0,0.24774620591207197
appended_stable_k50,stable_append,known_diverse,16,-0.019758968440312094,-0.02373648071586454,-0.030011003470385537,-0.009238761715875619,3,0,13,15.0,0.004180908203125
appended_all_diverse,direct,known_diverse,16,-0.02764876263373111,-0.03827304788063818,-0.04445472788102507,-0.00955703961574332,4,0,12,20.0,0.010986328125
