candidate,family,baseline,n,mean_delta_f1,median_delta_f1,ci95_low,ci95_high,wins,ties,losses,wilcoxon_statistic,wilcoxon_p
known_unknown_stable_k150_w20,stable_fusion,known_diverse,32,-0.003613356334533916,-0.005012846547594374,-0.011647610668713818,0.004363718499957697,10,2,20,174.0,0.2288804222849652
known_unknown_stable_k150_w10,stable_fusion,known_diverse,32,-0.0026788234265168846,0.0,-0.008317700308186736,0.0028144423496649614,12,6,14,137.0,0.32814280480777647
known_unknown_all_w05,all_fusion,known_diverse,32,-0.0017266833840820506,0.0,-0.004898944016435316,0.0014109934294867608,9,9,14,106.0,0.33038694185494255
known_unknown_all_w20,all_fusion,known_diverse,32,-0.004081583868531993,-0.007572381292281383,-0.011430061946208013,0.003342413748599486,11,1,20,173.0,0.1416319469128493
