method,n,f1_mean,f1_std,f1_ci_low,f1_ci_high,f1_min,f1_max,auc_mean,prauc_mean,mcc_mean,precision_mean,recall_mean,specificity_mean
avg3,16,0.7644373365574965,0.03027163125702814,0.7505997918514538,0.779254869721368,0.7238095238095238,0.8256880733944955,0.9002425240299039,0.8300880506020092,0.6430292386082943,0.7433011677850669,0.7889150943396226,0.8626179245283019
f125,16,0.7615371564930427,0.035713539195195036,0.7444672316914268,0.778168355188234,0.6923076923076923,0.8214285714285714,0.897127536489854,0.8268074069142729,0.6362601907001266,0.728143082192489,0.7995283018867925,0.8502358490566038
auc100,16,0.7597616164132046,0.030298134631444314,0.7461462490830753,0.7748739121367425,0.7037037037037037,0.8380952380952381,0.892310430758277,0.8198680383602555,0.6349368100421926,0.7372492661809318,0.7853773584905661,0.858490566037736
mi125,16,0.7486551230073007,0.041984973141122955,0.7282999128190165,0.7681493081079781,0.6796116504854369,0.8035714285714286,0.8890730687077252,0.8153289090579038,0.6187659736282978,0.7230163376625001,0.7783018867924529,0.8508254716981132
