method,f1_mean,f1_std,f1_min,f1_max,auc_mean,prauc_mean,mcc_mean
avg_three,0.7713763812970011,0.028644523412915075,0.7037037037037037,0.831858407079646,0.9017888928444286,0.8318630489116546,0.6517272223851053
avg_fixed_rs,0.7702272829869831,0.024283220371977766,0.7155963302752294,0.831858407079646,0.9007598344606622,0.831460739456036,0.649522848657163
weighted_all_sub150,0.7691635847144487,0.03338973136623622,0.6727272727272727,0.831858407079646,0.9006040850836596,0.8292356775014484,0.6475065603095465
avg_fixed_weighted,0.7679843069820039,0.035028680644348484,0.6788990825688074,0.8245614035087719,0.9010880206479174,0.8305781850652196,0.645441863176523
fixed125,0.7658131449319667,0.030788126395996655,0.6851851851851852,0.8245614035087719,0.8992913403346386,0.8296774416591678,0.6420199170231565
rs_pool250_sub125,0.7555900148938375,0.028452518090545505,0.7047619047619048,0.8073394495412844,0.8926219295122819,0.8198482023220206,0.6274388301566461
