method,delta_mean,ci_low,ci_high,wins,ties,losses,wilcoxon_p
avg_three,0.005563236365034422,-2.0141507872716937e-05,0.011260633818327703,17,3,12,0.09376815277040264
avg_fixed_rs,0.004414138055016344,-0.0018341999872641985,0.010686666041702642,17,2,13,0.20588822305607402
weighted_all_sub150,0.0033504397824820446,-0.00496436962050484,0.011290571077129398,18,1,13,0.3778608888963606
avg_fixed_weighted,0.0021711620500372286,-0.003958130432452568,0.008057512636350322,16,4,12,0.43879573906305935
rs_pool250_sub125,-0.010223130038129198,-0.02074548860466301,0.000575948936786393,10,0,22,0.05448048235848546
