method,f1_mean,f1_std,f1_min,auc_mean,prauc_mean,mcc_mean
avg_three,0.7592592592592593,,0.7592592592592593,0.8883944464222143,0.8263552827068494,0.635763953205751
avg_fixed_weighted,0.7522935779816514,,0.7522935779816514,0.8903524385902456,0.8264746748013186,0.6238025977812317
weighted_all_sub150,0.7522935779816514,,0.7522935779816514,0.8860804556781773,0.8260974248359162,0.6238025977812317
fixed125,0.7321428571428571,,0.7321428571428571,0.8873264506941971,0.8204521270221938,0.589167755454927
avg_fixed_rs,0.7272727272727273,,0.7272727272727273,0.8867924528301886,0.8221100163167655,0.5842356282783902
rs_pool250_sub125,0.7256637168141593,,0.7256637168141593,0.875756496974012,0.8166271695341438,0.5780059766913392
