seed,method,f1,precision,recall,specificity,ba,mcc,auc,prauc,tn,fp,fn,tp
86013,fixed125,0.7350427350427351,0.671875,0.8113207547169812,0.8018867924528302,0.8066037735849056,0.5894494532143845,0.8903524385902456,0.8079674035465301,85,21,10,43
86013,weighted_all_sub150,0.7692307692307693,0.703125,0.8490566037735849,0.8207547169811321,0.8349056603773586,0.6438601719726353,0.9037023851904592,0.8317432243167886,87,19,8,45
86013,rs_pool250_sub125,0.7857142857142857,0.7457627118644068,0.8301886792452831,0.8584905660377359,0.8443396226415094,0.6720194710657761,0.9044143823424708,0.8272980850537897,91,15,9,44
86013,avg_fixed_weighted,0.7478260869565218,0.6935483870967742,0.8113207547169812,0.8207547169811321,0.8160377358490567,0.610911208079347,0.8996084015663938,0.824889112583449,87,19,10,43
86013,avg_fixed_rs,0.7543859649122807,0.7049180327868853,0.8113207547169812,0.8301886792452831,0.8207547169811321,0.6218934168169232,0.9010323958704164,0.8168068886313252,88,18,10,43
86013,avg_three,0.7368421052631579,0.6885245901639344,0.7924528301886793,0.8207547169811321,0.8066037735849056,0.5944569425455885,0.9022783908864364,0.8269761348069997,87,19,11,42
86014,fixed125,0.8035714285714286,0.7627118644067796,0.8490566037735849,0.8679245283018868,0.8584905660377359,0.6996367096027257,0.921502313990744,0.8490538899543804,92,14,8,45
86014,weighted_all_sub150,0.8035714285714286,0.7627118644067796,0.8490566037735849,0.8679245283018868,0.8584905660377359,0.6996367096027257,0.9172303310786756,0.8449262422425485,92,14,8,45
86014,rs_pool250_sub125,0.7586206896551724,0.6984126984126984,0.8301886792452831,0.8207547169811321,0.8254716981132075,0.6273764344284781,0.9037023851904592,0.8354883809123204,87,19,9,44
86014,avg_fixed_weighted,0.8214285714285714,0.7796610169491526,0.8679245283018868,0.8773584905660378,0.8726415094339623,0.7272539481396755,0.9225703097187612,0.8530187306490475,93,13,7,46
