seed,method,f1,precision,recall,specificity,ba,mcc,auc,prauc,tn,fp,fn,tp
85001,fixed125,0.7850467289719626,0.7777777777777778,0.7924528301886793,0.8867924528301887,0.839622641509434,0.6761234037828132,0.9015663937344252,0.8337778271828397,94,12,11,42
85001,weighted_all_sub150,0.7476635514018691,0.7407407407407407,0.7547169811320755,0.8679245283018868,0.8113207547169812,0.6197797868009122,0.9013883944464224,0.8320586634546672,92,14,13,40
85001,rs_pool250_sub125,0.7777777777777778,0.7636363636363637,0.7924528301886793,0.8773584905660378,0.8349056603773586,0.6638123629060046,0.9001423994304022,0.8356285697265233,93,13,11,42
85001,avg_fixed_weighted,0.7777777777777778,0.7636363636363637,0.7924528301886793,0.8773584905660378,0.8349056603773586,0.6638123629060046,0.9019223923104308,0.8323279505514674,93,13,11,42
85001,avg_fixed_rs,0.780952380952381,0.7884615384615384,0.7735849056603774,0.8962264150943396,0.8349056603773586,0.6730538149468599,0.9044143823424706,0.840294772300066,95,11,12,41
85001,avg_three,0.7663551401869159,0.7592592592592593,0.7735849056603774,0.8773584905660378,0.8254716981132075,0.6479515952918626,0.9049483802064792,0.8363183847936593,93,13,12,41
85002,fixed125,0.7678571428571429,0.7288135593220338,0.8113207547169812,0.8490566037735849,0.8301886792452831,0.6444022325288263,0.9045923816304736,0.8545736322335344,90,16,10,43
85002,weighted_all_sub150,0.7476635514018691,0.7407407407407407,0.7547169811320755,0.8679245283018868,0.8113207547169812,0.6197797868009122,0.8955144179423282,0.8443855360155574,92,14,13,40
85002,rs_pool250_sub125,0.7047619047619048,0.7115384615384616,0.6981132075471698,0.8584905660377359,0.7783018867924528,0.5592982405896442,0.8924884300462799,0.8393060881657898,91,15,16,37
85002,avg_fixed_weighted,0.7706422018348624,0.75,0.7924528301886793,0.8679245283018868,0.8301886792452831,0.6517340573833763,0.9022783908864364,0.8524498018733763,92,14,11,42
85002,avg_fixed_rs,0.7706422018348624,0.75,0.7924528301886793,0.8679245283018868,0.8301886792452831,0.6517340573833763,0.9053043787824848,0.8584426256653171,92,14,11,42
85002,avg_three,0.7850467289719626,0.7777777777777778,0.7924528301886793,0.8867924528301887,0.839622641509434,0.6761234037828132,0.9035243859024564,0.8543339706297882,94,12,11,42
85003,fixed125,0.7368421052631579,0.6885245901639344,0.7924528301886793,0.8207547169811321,0.8066037735849056,0.5944569425455885,0.8707725169099324,0.7972242110683933,87,19,11,42
85003,weighted_all_sub150,0.7387387387387387,0.7068965517241379,0.7735849056603774,0.839622641509434,0.8066037735849056,0.6005147444880591,0.8745105019579922,0.793790199217068,89,17,12,41
85003,rs_pool250_sub125,0.7090909090909091,0.6842105263157895,0.7358490566037735,0.8301886792452831,0.7830188679245282,0.5564148840746572,0.8609825560697757,0.7821666024878742,88,18,14,39
85003,avg_fixed_weighted,0.7256637168141593,0.6833333333333333,0.7735849056603774,0.8207547169811321,0.7971698113207548,0.5780059766913392,0.8729085083659666,0.7931405500127412,87,19,12,41
85003,avg_fixed_rs,0.7454545454545455,0.7192982456140351,0.7735849056603774,0.8490566037735849,0.8113207547169812,0.612056372482123,0.8721965112139551,0.7966401973288336,90,16,12,41
85003,avg_three,0.7321428571428571,0.6949152542372882,0.7735849056603774,0.8301886792452831,0.8018867924528302,0.589167755454927,0.873620505517978,0.7936902295062743,88,18,12,41
85004,fixed125,0.7927927927927928,0.7586206896551724,0.8301886792452831,0.8679245283018868,0.8490566037735849,0.6836629398787134,0.9136703453186188,0.8490448290105638,92,14,9,44
85004,weighted_all_sub150,0.8148148148148148,0.8,0.8301886792452831,0.8962264150943396,0.8632075471698113,0.7199091823065121,0.9165183339266644,0.8467926161858046,95,11,9,44
85004,rs_pool250_sub125,0.7567567567567568,0.7241379310344828,0.7924528301886793,0.8490566037735849,0.8207547169811321,0.6282308096182772,0.9010323958704164,0.8344815959195192,90,16,11,42
85004,avg_fixed_weighted,0.8073394495412844,0.7857142857142857,0.8301886792452831,0.8867924528301887,0.8584905660377359,0.7075969765876657,0.9166963332146671,0.8525577832947969,94,12,9,44
85004,avg_fixed_rs,0.7777777777777778,0.7636363636363637,0.7924528301886793,0.8773584905660378,0.8349056603773586,0.6638123629060046,0.913492346030616,0.8515063680533858,93,13,11,42
85004,avg_three,0.7777777777777778,0.7636363636363637,0.7924528301886793,0.8773584905660378,0.8349056603773586,0.6638123629060046,0.9152723389106444,0.8519759007640207,93,13,11,42
85005,fixed125,0.8070175438596491,0.7540983606557377,0.8679245283018868,0.8584905660377359,0.8632075471698113,0.7042028396309278,0.9047703809184764,0.8456890011561995,91,15,7,46
85005,weighted_all_sub150,0.7927927927927928,0.7586206896551724,0.8301886792452831,0.8679245283018868,0.8490566037735849,0.6836629398787134,0.8990744037023852,0.8287958202073803,92,14,9,44
85005,rs_pool250_sub125,0.75,0.711864406779661,0.7924528301886793,0.839622641509434,0.8160377358490567,0.6167849939918766,0.8832324670701318,0.812389494323535,89,17,11,42
85005,avg_fixed_weighted,0.7894736842105263,0.7377049180327869,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.676766365359593,0.9024563901744392,0.8387106726630685,90,16,8,45
85005,avg_fixed_rs,0.7894736842105263,0.7377049180327869,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.676766365359593,0.8994304022783909,0.8362171946147743,90,16,8,45
85005,avg_three,0.7964601769911505,0.75,0.8490566037735849,0.8584905660377359,0.8537735849056605,0.6881023532039754,0.8994304022783909,0.8364810311710801,91,15,8,45
85006,fixed125,0.7543859649122807,0.7049180327868853,0.8113207547169812,0.8301886792452831,0.8207547169811321,0.6218934168169232,0.908508365966536,0.8362948427538462,88,18,10,43
85006,weighted_all_sub150,0.782608695652174,0.7258064516129032,0.8490566037735849,0.839622641509434,0.8443396226415094,0.6656196744745123,0.9172303310786756,0.843837257223988,89,17,8,45
85006,rs_pool250_sub125,0.7719298245614035,0.7213114754098361,0.8301886792452831,0.839622641509434,0.8349056603773586,0.6493298910882581,0.8971164115343538,0.8223946392974815,89,17,9,44
85006,avg_fixed_weighted,0.7758620689655172,0.7142857142857143,0.8490566037735849,0.8301886792452831,0.839622641509434,0.6546536707079772,0.9136703453186188,0.8411428660217464,88,18,8,45
85006,avg_fixed_rs,0.7931034482758621,0.7301587301587301,0.8679245283018868,0.839622641509434,0.8537735849056605,0.6819309069874763,0.9095763616945532,0.8401169050189448,89,17,7,46
85006,avg_three,0.7758620689655172,0.7142857142857143,0.8490566037735849,0.8301886792452831,0.839622641509434,0.6546536707079772,0.9142043431826272,0.8416943526541557,88,18,8,45
85007,fixed125,0.7567567567567568,0.7241379310344828,0.7924528301886793,0.8490566037735849,0.8207547169811321,0.6282308096182772,0.8862584549661802,0.8179860035943323,90,16,11,42
85007,weighted_all_sub150,0.7706422018348624,0.75,0.7924528301886793,0.8679245283018868,0.8301886792452831,0.6517340573833763,0.8798504805980776,0.806125474385417,92,14,11,42
85007,rs_pool250_sub125,0.7407407407407407,0.7272727272727273,0.7547169811320755,0.8584905660377359,0.8066037735849056,0.6077155435054972,0.8848344606621574,0.8039626078931694,91,15,13,40
85007,avg_fixed_weighted,0.7387387387387387,0.7068965517241379,0.7735849056603774,0.839622641509434,0.8066037735849056,0.6005147444880591,0.8832324670701318,0.8088022496160557,89,17,12,41
85007,avg_fixed_rs,0.7636363636363637,0.7368421052631579,0.7924528301886793,0.8584905660377359,0.8254716981132075,0.6398771166858559,0.8908864364542542,0.8182929817206561,91,15,11,42
