seed,method,f1,roc_auc,pr_auc
108001,known_diverse,0.7478260869565218,0.9069063723745104,0.8373566099150382
108001,known_unknown_w05,0.7478260869565218,0.9083303666785333,0.8350638401253143
108001,known_unknown_w20,0.7652173913043478,0.9074403702385192,0.8294022139302845
108002,known_diverse,0.8073394495412844,0.9152723389106443,0.8529505235886938
108002,known_unknown_w05,0.8073394495412844,0.9158063367746528,0.8563123324107911
108002,known_unknown_w20,0.7962962962962963,0.9154503381986472,0.8502762852298179
108003,known_diverse,0.7850467289719626,0.8892844428622286,0.8126880543043058
108003,known_unknown_w05,0.7777777777777778,0.8915984336062657,0.8174565791795186
108003,known_unknown_w20,0.7706422018348624,0.8896404414382342,0.8157141188700028
108004,known_diverse,0.7850467289719626,0.9143823424706302,0.8389102510947277
108004,known_unknown_w05,0.7850467289719626,0.913314346742613,0.8409840401320231
108004,known_unknown_w20,0.7735849056603774,0.9117123531505874,0.8378991140163059
108005,known_diverse,0.7889908256880734,0.9056603773584907,0.8305840182986878
108005,known_unknown_w05,0.7889908256880734,0.9070843716625133,0.8337302264672422
108005,known_unknown_w20,0.7889908256880734,0.9106443574225703,0.8365669937596744
108006,known_diverse,0.7787610619469026,0.8914204343182627,0.8217683322664449
108006,known_unknown_w05,0.7787610619469026,0.8917764328942684,0.8243905248057953
108006,known_unknown_w20,0.7433628318584071,0.88875044499822,0.824378796693433
108007,known_diverse,0.7706422018348624,0.8839444642221432,0.7994171331126745
108007,known_unknown_w05,0.7592592592592593,0.8825204699181204,0.7953401707832092
108007,known_unknown_w20,0.7454545454545455,0.8809184763260948,0.7967266125086437
108008,known_diverse,0.7889908256880734,0.9108223567105732,0.8511204533952863
108008,known_unknown_w05,0.7889908256880734,0.9101103595585618,0.8499421717043453
108008,known_unknown_w20,0.7706422018348624,0.9086863652545389,0.8470458702120525
108009,known_diverse,0.8,0.9170523317906728,0.8628040651422647
108009,known_unknown_w05,0.8108108108108109,0.9170523317906728,0.8646315900189037
108009,known_unknown_w20,0.8148148148148148,0.9184763260946956,0.8650976358292217
108010,known_diverse,0.7927927927927928,0.9028123887504451,0.8156665980023652
108010,known_unknown_w05,0.7927927927927928,0.9038803844784621,0.8156711282194931
108010,known_unknown_w20,0.7747747747747747,0.9004983980064081,0.8158631899125295
108011,known_diverse,0.7339449541284404,0.8812744749021004,0.8186641748504379
108011,known_unknown_w05,0.7476635514018691,0.8816304734781062,0.8191020951995934
108011,known_unknown_w20,0.7619047619047619,0.8834104663581347,0.8209419836982733
108012,known_diverse,0.7931034482758621,0.9060163759344962,0.8437643451501227
108012,known_unknown_w05,0.7719298245614035,0.907440370238519,0.846228113070043
108012,known_unknown_w20,0.7719298245614035,0.9060163759344962,0.8463954599949289
108013,known_diverse,0.7339449541284404,0.9074403702385191,0.8508313376476705
108013,known_unknown_w05,0.7522935779816514,0.9079743681025276,0.8515942654723364
108013,known_unknown_w20,0.7962962962962963,0.9079743681025275,0.8509212327220985
108014,known_diverse,0.7735849056603774,0.913314346742613,0.8588347632548731
108014,known_unknown_w05,0.780952380952381,0.9150943396226415,0.8604325796619078
108014,known_unknown_w20,0.7850467289719626,0.9134923460306158,0.8591688095098928
108015,known_diverse,0.8073394495412844,0.9334282662869348,0.8784446382419854
108015,known_unknown_w05,0.8073394495412844,0.9339622641509434,0.8794286794854058
108015,known_unknown_w20,0.8113207547169812,0.9343182627269492,0.8824210781493969
108016,known_diverse,0.8,0.9017443930224278,0.830697004225565
108016,known_unknown_w05,0.7889908256880734,0.9008543965824136,0.8306341564859275
108016,known_unknown_w20,0.7818181818181819,0.8953364186543254,0.8272003711638518
108017,known_diverse,0.7787610619469026,0.9079743681025276,0.8536710030108123
108017,known_unknown_w05,0.7787610619469026,0.9085083659665362,0.853237308969399
108017,known_unknown_w20,0.7747747747747747,0.9086863652545392,0.8532762671197388
108018,known_diverse,0.7964601769911505,0.9090423638305447,0.8505838982753791
108018,known_unknown_w05,0.8035714285714286,0.9092203631185476,0.8514705507455496
108018,known_unknown_w20,0.8,0.9076183695265219,0.8533801114658248
108019,known_diverse,0.7706422018348624,0.8955144179423283,0.8380885321237206
108019,known_unknown_w05,0.7706422018348624,0.8974724101103596,0.8439138551741193
108019,known_unknown_w20,0.7706422018348624,0.9004983980064081,0.8526951883327303
108020,known_diverse,0.7927927927927928,0.9158063367746531,0.8546011354593036
108020,known_unknown_w05,0.7927927927927928,0.9161623353506586,0.855780491157523
108020,known_unknown_w20,0.7924528301886793,0.9159843360626557,0.8407443545586196
108021,known_diverse,0.7368421052631579,0.8891064435742257,0.8042454083129351
108021,known_unknown_w05,0.7433628318584071,0.8885724457102171,0.8041826361433835
108021,known_unknown_w20,0.7747747747747747,0.8867924528301887,0.8011191373239426
108022,known_diverse,0.7777777777777778,0.8933784264862941,0.8186688032215292
108022,known_unknown_w05,0.7777777777777778,0.8948024207903168,0.8227934297017634
108022,known_unknown_w20,0.7818181818181819,0.8987184051263795,0.8333794193694444
108023,known_diverse,0.7747747747747747,0.8988964044143823,0.8304202261903236
108023,known_unknown_w05,0.7636363636363637,0.8997864008543965,0.8323094218721314
108023,known_unknown_w20,0.7706422018348624,0.8987184051263795,0.8342166910466913
108024,known_diverse,0.7889908256880734,0.9102883588465646,0.8659876473973208
108024,known_unknown_w05,0.7889908256880734,0.907618369526522,0.8608879297310679
108024,known_unknown_w20,0.7889908256880734,0.9004983980064081,0.8496601682581003
108025,known_diverse,0.7610619469026548,0.9093983624065504,0.8408083121896917
108025,known_unknown_w05,0.7719298245614035,0.9077963688145247,0.8387839527029501
108025,known_unknown_w20,0.7636363636363637,0.9038803844784621,0.8318650569472441
108026,known_diverse,0.7719298245614035,0.8965824136703453,0.8106184321701685
108026,known_unknown_w05,0.7719298245614035,0.8976504093983624,0.8123933815952906
108026,known_unknown_w20,0.7857142857142857,0.898184407262371,0.812494348983313
108027,known_diverse,0.7924528301886793,0.9001423994304023,0.8359858745920707
108027,known_unknown_w05,0.7924528301886793,0.8999644001423994,0.836030150012094
108027,known_unknown_w20,0.7777777777777778,0.8981844072623709,0.8321092968842636
108028,known_diverse,0.7706422018348624,0.9067283730865077,0.8449717877830267
108028,known_unknown_w05,0.7636363636363637,0.9060163759344962,0.8445456305793643
108028,known_unknown_w20,0.7706422018348624,0.9001423994304022,0.8383849166459326
108029,known_diverse,0.7387387387387387,0.8901744393022428,0.8072228496387948
108029,known_unknown_w05,0.75,0.8899964400142399,0.8068862500100032
108029,known_unknown_w20,0.7272727272727273,0.8839444642221432,0.8043824647628403
108030,known_diverse,0.7777777777777778,0.9054823780704878,0.8396342907891852
108030,known_unknown_w05,0.7777777777777778,0.9058383766464934,0.8405967561892526
108030,known_unknown_w20,0.8,0.9072623709505162,0.8458405096135555
108031,known_diverse,0.7857142857142857,0.893556425774297,0.8388229627014536
108031,known_unknown_w05,0.7927927927927928,0.8935564257742971,0.8382610259558684
108031,known_unknown_w20,0.7706422018348624,0.8899964400142399,0.8342963073298186
108032,known_diverse,0.7387387387387387,0.8988964044143823,0.804981367427367
108032,known_unknown_w05,0.7454545454545455,0.8978284086863652,0.8039270137044392
108032,known_unknown_w20,0.7454545454545455,0.8955144179423282,0.806983102061198
