method,n_seeds,f1_mean,f1_std,f1_min,f1_max,roc_auc_mean,pr_auc_mean
known_unknown_w05,6,0.7850157856930099,0.025447500874891175,0.7563025210084033,0.822429906542056,0.9019520588584312,0.8388661062928673
known_unknown_w20,6,0.7848399902921922,0.026735975488029733,0.7563025210084033,0.8301886792452831,0.9031090542304497,0.8402224080601887
known_unknown_w30,6,0.7830185244300304,0.023796990350787854,0.7627118644067796,0.8235294117647058,0.901062062418417,0.8364510060190519
known_diverse,6,0.7828467342306559,0.02732178455148545,0.7457627118644068,0.8148148148148148,0.9009137296784147,0.8372092156733931
known_unknown_w10,6,0.7813988607190349,0.030421135802055205,0.7522935779816514,0.8301886792452831,0.9029903880384479,0.8404519020695517
combined_diverse,6,0.7451961188226083,0.034495900007316296,0.6972477064220184,0.8,0.8797911475020767,0.815168350338388
appended_diverse,6,0.7414784353898392,0.045538097642161664,0.6896551724137931,0.8181818181818182,0.8868517859261896,0.8280975779261496
unknown_diverse,6,0.6301180205382267,0.03515583556889828,0.5714285714285714,0.6724137931034483,0.7764625608164234,0.6805775444480537
